customer_id,signup_date,state,region,customer_segment
C00001,2023-10-21,SP,Sudeste,Mass Market
C00002,2022-07-02,ES,Sudeste,Intermediário
C00003,2025-03-21,MG,Sudeste,Mass Market
C00004,2022-01-06,SC,Sul,Mass Market
C00005,2025-09-09,MS,Centro-Oeste,Mass Market
C00006,2024-03-03,CE,Nordeste,Mass Market
C00007,2024-08-03,MA,Nordeste,Intermediário
C00008,2023-12-15,SP,Sudeste,Intermediário
C00009,2022-07-04,PR,Sul,Mass Market
C00010,2024-05-06,PR,Sul,Intermediário
C00011,2024-11-07,PR,Sul,Intermediário
C00012,2025-04-19,GO,Centro-Oeste,Mass Market
C00013,2023-11-22,MG,Sudeste,Mass Market
C00014,2025-11-08,BA,Nordeste,Intermediário
C00015,2025-02-10,MG,Sudeste,Mass Market
C00016,2025-12-28,SP,Sudeste,Intermediário
C00017,2025-09-18,PR,Sul,Mass Market
C00018,2023-06-27,RS,Sul,Intermediário
C00019,2023-11-24,SP,Sudeste,Mass Market
C00020,2025-06-02,MT,Centro-Oeste,Mass Market
C00021,2025-01-24,RJ,Sudeste,Intermediário
C00022,2025-02-10,RJ,Sudeste,Intermediário
C00023,2022-12-12,PE,Nordeste,Mass Market
C00024,2025-10-24,RJ,Sudeste,Mass Market
C00025,2023-11-18,PR,Sul,Intermediário
C00026,2025-03-10,PE,Nordeste,Intermediário
C00027,2024-03-01,RN,Nordeste,Intermediário
C00028,2022-07-26,MG,Sudeste,Mass Market
C00029,2024-07-24,RN,Nordeste,Mass Market
C00030,2023-02-25,RJ,Sudeste,Mass Market
C00031,2025-11-04,RS,Sul,Mass Market
C00032,2023-11-04,PE,Nordeste,Mass Market
C00033,2024-06-02,MT,Centro-Oeste,Mass Market
C00034,2025-01-10,SP,Sudeste,Intermediário
C00035,2024-08-16,MG,Sudeste,Mass Market
C00036,2024-02-05,SP,Sudeste,Intermediário
C00037,2025-03-07,ES,Sudeste,Intermediário
C00038,2025-01-07,MG,Sudeste,Intermediário
C00039,2023-02-02,TO,Norte,Mass Market
C00040,2022-09-03,PA,Norte,Intermediário
C00041,2024-03-09,RJ,Sudeste,Intermediário
C00042,2024-07-14,MG,Sudeste,Mass Market
C00043,2024-09-10,BA,Nordeste,Mass Market
C00044,2022-06-23,MG,Sudeste,Mass Market
C00045,2022-07-25,CE,Nordeste,Mass Market
C00046,2023-10-05,MS,Centro-Oeste,Premium
C00047,2023-10-12,RJ,Sudeste,Mass Market
C00048,2022-04-20,SP,Sudeste,Intermediário
C00049,2023-04-22,PA,Norte,Mass Market
C00050,2022-04-12,RS,Sul,Mass Market
C00051,2023-08-27,GO,Centro-Oeste,Intermediário
C00052,2023-06-27,DF,Centro-Oeste,Intermediário
C00053,2022-02-25,MS,Centro-Oeste,Mass Market
C00054,2025-10-28,RJ,Sudeste,Mass Market
C00055,2024-08-29,SP,Sudeste,Intermediário
C00056,2022-06-02,SC,Sul,Mass Market
C00057,2024-10-05,SC,Sul,Mass Market
C00058,2025-10-28,RJ,Sudeste,Mass Market
C00059,2022-12-04,SC,Sul,Mass Market
C00060,2025-09-22,RS,Sul,Intermediário
C00061,2024-04-27,MG,Sudeste,Intermediário
C00062,2022-07-29,PB,Nordeste,Mass Market
C00063,2023-03-20,AC,Norte,Mass Market
C00064,2025-09-22,RJ,Sudeste,Intermediário
C00065,2025-03-20,RS,Sul,Mass Market
C00066,2024-02-11,GO,Centro-Oeste,Mass Market
C00067,2025-08-19,ES,Sudeste,Mass Market
C00068,2024-02-28,MS,Centro-Oeste,Mass Market
C00069,2024-08-07,SP,Sudeste,Intermediário
C00070,2023-05-29,PR,Sul,Mass Market
C00071,2024-06-20,MG,Sudeste,Premium
C00072,2022-08-10,RO,Norte,Mass Market
C00073,2025-09-18,BA,Nordeste,Mass Market
C00074,2022-07-15,MA,Nordeste,Intermediário
C00075,2023-11-11,MG,Sudeste,Intermediário
C00076,2025-05-25,PB,Nordeste,Mass Market
C00077,2022-05-27,MG,Sudeste,Mass Market
C00078,2022-12-06,SP,Sudeste,Intermediário
C00079,2023-07-07,SP,Sudeste,Mass Market
C00080,2024-03-26,SP,Sudeste,Mass Market
C00081,2023-01-13,MT,Centro-Oeste,Mass Market
C00082,2025-01-22,DF,Centro-Oeste,Mass Market
C00083,2024-07-17,MA,Nordeste,Mass Market
C00084,2024-04-14,SP,Sudeste,Mass Market
C00085,2023-02-04,RS,Sul,Premium
C00086,2024-04-25,CE,Nordeste,Mass Market
C00087,2025-05-01,RJ,Sudeste,Intermediário
C00088,2022-06-14,SP,Sudeste,Intermediário
C00089,2024-11-20,MG,Sudeste,Mass Market
C00090,2024-10-07,SC,Sul,Mass Market
C00091,2023-07-17,BA,Nordeste,Mass Market
C00092,2025-05-21,MT,Centro-Oeste,Mass Market
C00093,2025-06-18,RJ,Sudeste,Intermediário
C00094,2023-08-15,MG,Sudeste,Mass Market
C00095,2023-11-13,RJ,Sudeste,Mass Market
C00096,2025-02-08,MG,Sudeste,Mass Market
C00097,2022-06-25,PR,Sul,Mass Market
C00098,2022-06-19,MT,Centro-Oeste,Mass Market
C00099,2022-12-04,PR,Sul,Mass Market
C00100,2025-05-25,SP,Sudeste,Mass Market
C00101,2024-06-25,RS,Sul,Mass Market
C00102,2022-10-11,MG,Sudeste,Intermediário
C00103,2024-02-15,PA,Norte,Intermediário
C00104,2024-08-06,MS,Centro-Oeste,Mass Market
C00105,2025-05-28,MT,Centro-Oeste,Intermediário
C00106,2023-12-24,SP,Sudeste,Mass Market
C00107,2023-04-26,MS,Centro-Oeste,Intermediário
C00108,2025-09-19,ES,Sudeste,Mass Market
C00109,2025-03-04,SP,Sudeste,Mass Market
C00110,2025-08-26,SP,Sudeste,Mass Market
C00111,2025-03-10,SP,Sudeste,Intermediário
C00112,2022-10-24,MG,Sudeste,Mass Market
C00113,2024-03-16,SE,Nordeste,Intermediário
C00114,2025-08-16,ES,Sudeste,Premium
