order_id,product_id,quantity,unit_price,discount,unit_cost
O0000001,P104,1,222.07,0.03,137.54
O0000002,P060,2,259.43,0.03,175.94
O0000002,P094,1,350.51,0.05,182.93
O0000003,P041,2,109.39,0.0,52.4
O0000003,P079,4,731.72,0.08,362.64
O0000003,P115,1,88.74,0.0,53.59
O0000003,P046,1,276.85,0.0,203.12
O0000004,P052,1,120.57,0.0,84.4
O0000005,P095,1,631.73,0.0,312.28
O0000005,P001,3,297.43,0.0,151.05
O0000006,P001,3,289.17,0.0,146.05
O0000006,P087,1,603.23,0.0,419.56
O0000007,P069,1,1352.82,0.05,844.41
O0000008,P009,1,121.9,0.08,86.82
O0000009,P097,1,313.46,0.03,210.17
O0000010,P017,1,1793.61,0.0,891.49
O0000011,P055,1,465.0,0.05,272.08
O0000012,P058,1,612.33,0.05,296.25
O0000013,P088,2,102.04,0.05,53.95
O0000014,P050,2,247.96,0.0,144.79
O0000015,P102,1,222.52,0.08,151.52
O0000016,P110,1,53.46,0.05,28.32
O0000017,P006,1,1948.33,0.12,1137.21
O0000018,P055,1,461.5,0.03,268.48
O0000018,P046,1,283.68,0.0,197.45
O0000019,P030,1,217.21,0.0,152.44
O0000020,P023,3,280.89,0.0,127.88
O0000021,P102,1,208.8,0.0,148.16
O0000022,P030,1,205.78,0.03,152.57
O0000023,P057,2,203.67,0.0,112.85
O0000023,P111,1,40.97,0.0,32.59
O0000023,P049,3,82.04,0.03,39.29
O0000024,P073,1,559.45,0.0,292.52
O0000025,P012,1,2329.33,0.0,1404.59
O0000026,P025,1,461.33,0.08,334.63
O0000027,P055,2,471.25,0.0,265.92
O0000028,P029,3,192.11,0.03,108.95
O0000028,P012,1,2291.59,0.0,1331.71
O0000028,P067,1,925.01,0.0,540.5
O0000028,P046,1,259.47,0.0,195.02
O0000029,P030,1,208.6,0.08,149.77
O0000030,P056,1,369.3,0.0,252.17
O0000030,P078,3,890.82,0.03,656.75
O0000031,P105,1,162.13,0.0,98.13
O0000032,P101,1,29.11,0.15,17.15
O0000032,P041,2,104.06,0.0,53.22
O0000033,P088,1,99.29,0.03,55.37
O0000033,P034,1,683.45,0.0,343.46
O0000034,P010,1,1131.48,0.0,597.0
O0000035,P103,1,166.09,0.03,123.78
O0000035,P011,1,1334.62,0.0,769.78
O0000035,P061,1,80.05,0.08,42.4
O0000036,P038,1,213.82,0.03,152.05
O0000036,P062,2,1406.63,0.03,1105.3
O0000036,P104,1,222.27,0.0,131.5
O0000036,P045,1,316.98,0.05,216.07
O0000037,P090,2,171.8,0.05,94.49
O0000038,P032,1,189.86,0.03,97.4
O0000039,P114,1,140.47,0.03,62.68
O0000039,P047,1,307.32,0.0,202.44
O0000040,P027,1,655.81,0.0,374.85
O0000041,P041,1,108.06,0.0,52.74
O0000042,P107,1,237.88,0.12,143.05
O0000042,P001,1,312.21,0.0,153.42
O0000043,P028,2,642.72,0.08,403.41
O0000044,P017,3,1871.57,0.0,849.95
O0000045,P034,1,659.7,0.05,352.13
O0000046,P067,1,933.71,0.0,544.38
O0000047,P069,3,1425.65,0.0,828.97
O0000047,P010,1,1142.88,0.0,602.51
O0000048,P022,2,402.75,0.0,253.13
O0000048,P083,1,253.93,0.0,119.27
O0000049,P047,1,304.92,0.0,200.74
O0000050,P076,1,266.4,0.08,137.86
O0000050,P111,2,41.33,0.0,31.76
O0000050,P112,1,65.07,0.08,37.48
O0000051,P024,4,179.68,0.0,97.68
O0000052,P103,1,174.18,0.05,126.48
O0000053,P013,2,568.73,0.08,361.32
O0000054,P058,1,586.11,0.0,304.93
O0000055,P009,1,123.02,0.0,85.65
O0000055,P028,3,610.89,0.0,420.22
O0000056,P100,1,297.55,0.0,186.92
O0000057,P030,3,214.33,0.03,157.53
O0000057,P103,1,175.8,0.0,126.16
O0000058,P098,1,30.9,0.0,23.66
O0000059,P024,2,185.81,0.0,101.96
O0000059,P094,3,355.67,0.12,191.72
O0000060,P110,2,55.01,0.0,27.83
O0000061,P074,1,77.21,0.0,41.73
O0000062,P059,1,165.29,0.03,97.26
O0000062,P040,1,326.89,0.0,162.76
O0000063,P072,1,54.37,0.0,36.12
O0000063,P071,3,720.63,0.05,336.17
O0000064,P078,2,879.74,0.0,662.81
O0000065,P047,2,315.16,0.0,205.64
O0000066,P022,2,375.82,0.05,251.39
O0000067,P010,1,1181.03,0.03,588.26
O0000067,P099,1,157.15,0.0,101.49
O0000068,P013,1,534.9,0.0,353.51
O0000069,P111,1,41.94,0.0,31.57
O0000069,P057,1,200.38,0.05,111.0
O0000070,P014,2,237.15,0.0,169.15
O0000071,P053,2,82.19,0.0,42.88
O0000072,P029,1,190.65,0.03,114.56
O0000072,P056,1,356.71,0.0,262.16
O0000073,P004,1,1868.35,0.0,906.93
O0000074,P052,1,118.99,0.0,88.62
O0000075,P022,1,378.53,0.05,257.78
O0000076,P114,2,138.46,0.0,60.87
O0000076,P110,1,53.06,0.0,28.39
O0000077,P003,2,1206.57,0.0,672.13
O0000078,P090,1,178.97,0.0,95.42
O0000079,P079,1,734.66,0.0,361.81
O0000080,P023,3,279.34,0.0,131.69
O0000081,P047,1,300.15,0.0,198.85
O0000082,P018,1,1755.4,0.08,1296.18
O0000082,P113,1,113.95,0.03,79.93
O0000082,P043,1,139.51,0.03,75.39
O0000083,P089,2,237.61,0.05,107.51
O0000083,P028,1,659.52,0.03,400.29
O0000083,P102,1,216.18,0.0,148.0
O0000083,P113,4,107.39,0.12,78.95
O0000084,P026,1,169.87,0.0,86.13
O0000084,P049,1,75.8,0.15,39.11
O0000084,P022,1,371.64,0.0,251.71
O0000085,P064,2,533.57,0.08,337.73
O0000086,P111,2,43.38,0.08,32.3
O0000087,P035,1,586.54,0.05,386.07
O0000088,P080,1,939.89,0.0,693.58
O0000089,P093,1,227.7,0.0,110.73
O0000090,P012,1,2327.12,0.03,1356.4
O0000090,P028,1,635.79,0.0,416.09
O0000090,P105,1,153.11,0.0,100.48
O0000091,P051,1,188.67,0.0,95.62
O0000092,P005,2,2026.31,0.0,1334.37
O0000093,P065,1,1019.59,0.0,615.89
O0000093,P117,3,128.89,0.0,94.51
O0000094,P025,1,473.47,0.15,327.38
O0000095,P102,3,222.06,0.08,145.06
O0000096,P018,1,1812.71,0.0,1319.52
O0000097,P038,1,199.76,0.0,152.03
O0000097,P074,1,72.87,0.0,40.79
O0000098,P075,1,1035.56,0.03,581.59
O0000098,P007,2,533.71,0.0,291.78
O0000099,P045,1,302.58,0.08,218.38
O0000099,P032,1,199.68,0.0,97.11
O0000100,P055,2,487.77,0.03,265.14
O0000101,P100,1,295.0,0.0,188.27
O0000102,P035,1,581.17,0.05,394.46
O0000103,P006,1,2028.02,0.0,1138.37
O0000104,P081,1,340.12,0.05,186.15
O0000105,P005,1,2051.05,0.0,1300.44
O0000106,P080,1,1026.07,0.0,663.79
O0000106,P072,1,53.17,0.03,34.62
O0000107,P016,3,1456.18,0.08,997.02
O0000107,P031,1,415.25,0.08,291.54
O0000107,P115,1,89.97,0.0,51.78
O0000107,P100,1,289.7,0.0,187.44
O0000108,P011,1,1357.14,0.0,761.25
O0000109,P095,1,600.66,0.03,315.78
O0000109,P099,2,161.34,0.03,100.89
O0000109,P059,3,162.41,0.0,94.79
O0000110,P101,2,29.49,0.08,17.81
O0000110,P001,1,292.41,0.0,148.24
O0000111,P009,2,112.2,0.0,86.0
O0000112,P017,2,1871.57,0.0,878.89
O0000113,P036,1,253.56,0.03,181.21
O0000113,P014,1,232.87,0.05,168.11
O0000114,P037,1,39.08,0.0,21.51
O0000114,P009,2,120.55,0.0,85.16
O0000115,P110,1,54.27,0.05,27.14
O0000116,P040,2,323.49,0.0,171.07
O0000116,P067,1,948.73,0.0,531.98
O0000117,P037,1,38.55,0.15,20.93
O0000118,P009,1,114.89,0.0,86.28
O0000118,P002,1,2540.85,0.0,1501.02
O0000118,P013,1,586.2,0.03,365.23
O0000119,P060,1,253.08,0.0,172.44
O0000120,P096,2,539.25,0.0,348.86
O0000120,P088,1,101.39,0.0,54.41
O0000121,P078,2,840.14,0.08,647.34
O0000122,P003,1,1255.1,0.0,646.65
O0000123,P009,2,121.08,0.05,86.66
O0000124,P096,1,512.33,0.12,353.17
O0000124,P075,1,1052.22,0.0,608.47
O0000125,P109,1,163.38,0.0,112.52
O0000125,P019,1,2023.0,0.12,1462.49
O0000125,P106,2,203.33,0.0,131.76
O0000126,P056,1,381.85,0.08,255.74
O0000127,P022,1,389.61,0.05,251.1
O0000128,P054,1,156.69,0.0,80.9
O0000129,P083,2,252.0,0.0,120.39
O0000130,P022,1,380.64,0.05,255.44
O0000130,P090,3,168.27,0.03,95.89
O0000130,P014,1,239.83,0.0,162.87
O0000131,P079,1,756.54,0.0,372.43
O0000132,P108,1,43.57,0.0,20.07
O0000133,P020,2,506.38,0.05,373.01
O0000134,P023,1,280.63,0.12,130.5
O0000134,P022,1,375.23,0.03,257.9
O0000134,P031,2,431.45,0.03,285.62
O0000135,P031,3,446.47,0.03,283.79
O0000136,P008,1,1890.7,0.03,1073.61
O0000137,P097,1,305.41,0.0,214.88
O0000138,P108,1,43.49,0.0,20.57
O0000139,P066,1,491.74,0.12,272.07
O0000140,P027,1,639.62,0.0,375.02
O0000141,P092,1,626.55,0.12,390.48
O0000142,P030,1,198.54,0.05,151.27
O0000142,P044,1,336.95,0.03,224.62
O0000143,P007,2,569.04,0.12,298.06
O0000144,P070,1,54.6,0.0,27.99
O0000145,P120,1,148.0,0.05,92.28
O0000146,P107,3,216.21,0.12,147.68
O0000147,P015,1,1180.12,0.0,764.03
O0000147,P027,1,629.03,0.08,385.67
O0000147,P042,2,197.56,0.03,119.99
O0000148,P046,2,283.4,0.0,201.88
O0000149,P002,1,2339.68,0.0,1465.15
O0000150,P091,1,237.84,0.15,159.74
O0000150,P074,1,77.5,0.08,42.02
O0000151,P118,1,76.24,0.03,48.12
O0000152,P019,1,2205.97,0.0,1401.91
O0000153,P053,2,87.33,0.03,41.65
O0000154,P023,1,269.12,0.0,130.5
O0000155,P115,2,92.34,0.0,54.06
O0000156,P078,1,861.45,0.0,653.13
O0000157,P093,3,231.52,0.0,114.11
O0000158,P057,1,208.79,0.0,110.81
O0000159,P105,2,152.95,0.08,99.02
O0000160,P004,1,1806.63,0.0,937.14
O0000160,P120,2,142.27,0.08,90.36
O0000160,P029,1,191.2,0.0,114.61
O0000160,P011,1,1314.1,0.08,776.53
O0000161,P119,2,142.09,0.0,76.26
O0000161,P001,2,285.93,0.0,146.82
O0000162,P089,1,229.71,0.0,108.38
O0000163,P025,2,453.75,0.12,331.69
O0000164,P120,1,144.75,0.03,88.61
O0000164,P102,2,215.17,0.0,146.49
O0000165,P005,1,2082.79,0.03,1313.56
O0000166,P108,1,45.21,0.08,20.18
O0000166,P102,1,225.48,0.0,143.73
O0000166,P027,1,628.46,0.0,391.04
O0000167,P100,2,299.04,0.15,184.48
O0000168,P075,2,1059.24,0.0,611.49
O0000169,P036,2,254.87,0.12,177.17
O0000170,P022,1,401.72,0.05,251.94
O0000171,P053,1,87.81,0.08,42.01
O0000172,P114,2,135.13,0.05,61.89
O0000173,P013,3,578.0,0.0,354.23
O0000173,P102,1,220.7,0.0,149.57
O0000174,P093,1,242.7,0.0,111.9
O0000174,P026,1,161.44,0.0,85.31
O0000175,P040,1,343.37,0.0,168.14
O0000176,P108,2,43.82,0.0,19.9
O0000177,P107,1,226.94,0.0,144.6
O0000178,P070,1,52.58,0.0,28.77
O0000179,P087,2,622.64,0.03,405.75
O0000179,P089,2,229.31,0.12,109.66
O0000180,P003,1,1280.87,0.05,650.43
O0000180,P037,1,37.19,0.0,21.21
O0000181,P010,1,1178.66,0.08,584.5
O0000182,P027,2,618.43,0.0,386.46
O0000183,P006,1,1870.92,0.0,1118.39
O0000184,P107,1,216.49,0.05,145.33
O0000185,P033,3,114.93,0.05,53.95
O0000186,P033,2,112.03,0.05,53.22
O0000187,P120,1,140.66,0.03,88.3
O0000188,P096,2,533.91,0.0,344.96
O0000188,P008,1,1907.89,0.0,1071.73
