order_id,customer_id,order_date,order_status,channel,payment_method
O0000001,C02738,2025-12-28,Concluído,Site,Cartão
O0000002,C02738,2025-10-09,Concluído,Site,PIX
O0000003,C02738,2025-10-16,Concluído,Marketplace,Cartão
O0000004,C02738,2025-05-11,Concluído,Site,PIX
O0000005,C03379,2024-09-22,Concluído,Site,PIX
O0000006,C02785,2025-04-10,Concluído,Site,Cartão
O0000007,C02785,2024-05-08,Concluído,Marketplace,PIX
O0000008,C02785,2025-11-29,Concluído,Site,PIX
O0000009,C02785,2024-10-12,Concluído,App,Cartão
O0000010,C02785,2024-08-24,Concluído,Marketplace,Cartão
O0000011,C03546,2024-02-08,Concluído,App,PIX
O0000012,C03546,2025-05-12,Concluído,Site,Cartão
O0000013,C03546,2024-11-23,Concluído,Site,Carteira digital
O0000014,C03546,2025-07-18,Concluído,Site,Cartão
O0000015,C01146,2024-09-27,Concluído,Marketplace,Cartão
O0000016,C01146,2025-09-28,Devolvido,App,Cartão
O0000017,C01146,2024-05-09,Concluído,App,Cartão
O0000018,C01146,2023-03-28,Concluído,Site,Carteira digital
O0000019,C01146,2023-07-11,Concluído,Site,Cartão
O0000020,C01146,2024-04-09,Concluído,Marketplace,Cartão
O0000021,C01146,2023-01-08,Concluído,App,Cartão
O0000022,C01146,2024-12-17,Concluído,Site,Carteira digital
O0000023,C01146,2025-02-08,Concluído,Site,Cartão
O0000024,C01146,2024-06-14,Concluído,App,Cartão
O0000025,C01146,2024-12-28,Concluído,App,Carteira digital
O0000026,C01146,2023-05-08,Concluído,Marketplace,Cartão
O0000027,C02555,2024-05-09,Concluído,Site,Cartão
O0000028,C00465,2025-02-28,Concluído,Site,PIX
O0000029,C03591,2024-05-02,Concluído,App,Cartão
O0000030,C03591,2024-04-04,Concluído,App,PIX
O0000031,C03591,2025-03-29,Concluído,Site,Carteira digital
O0000032,C03561,2024-12-20,Concluído,Site,Cartão
O0000033,C03561,2025-02-16,Concluído,Site,Carteira digital
O0000034,C02578,2025-05-29,Concluído,Marketplace,Carteira digital
O0000035,C02578,2025-05-19,Concluído,Marketplace,Carteira digital
O0000036,C02578,2025-06-22,Concluído,Site,Cartão
O0000037,C02578,2025-05-14,Concluído,Site,PIX
